session_id,user_agent,ip_address,page_views,session_duration,avg_time_per_page,bounce_rate,scroll_depth,click_count,form_interactions,search_queries,request_frequency,javascript_enabled,cookie_enabled,screen_resolution,browser_language,referer_type,hour_of_day,day_of_week,time_between_clicks,page_load_time,unique_pages_visited,sequential_page_views,back_button_usage,tab_switches,copy_paste_events,is_bot
session_000019,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,55.238.139.194,9,540,43.06,0.748,70.8,9,2,1,4.2,0,1,1440x900,fr-FR,search,18,4,2915.0,231.0,3,0.621,6,1,1,0
session_000020,Scrapy/2.5.1,133.116.31.64,18,212,11.9,0.163,21.6,4,0,0,18.68,0,0,800x600,unknown,direct,14,2,832.0,797.0,12,0.958,0,0,0,1
session_000021,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,182.162.16.59,1,264,21.63,0.733,81.0,4,0,1,2.59,1,1,1920x1080,es-ES,referral,21,2,12048.0,848.0,1,0.504,4,2,0,0
session_000022,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,55.139.34.186,9,264,86.88,0.799,63.7,12,2,1,4.61,1,1,375x667,fr-FR,direct,12,2,6109.0,1624.0,4,0.384,1,2,0,0
session_000023,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,25.25.169.111,2,255,67.56,0.709,88.8,4,4,0,2.56,1,1,1536x864,fr-FR,search,4,7,2468.0,1119.0,2,0.419,2,2,0,0
session_000024,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),252.166.26.16,10,495,81.21,0.797,82.4,9,2,0,2.29,1,1,1440x900,en-US,search,13,4,4949.0,1535.0,5,0.638,0,3,2,0
session_000025,Scrapy/2.5.1,109.47.72.119,8,166,10.33,0.148,18.1,3,0,0,12.63,0,1,800x600,unknown,direct,10,5,871.0,1085.0,8,0.962,0,0,0,1
session_000026,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,139.215.4.249,4,431,76.98,0.682,79.1,8,0,2,2.11,1,1,1366x768,en-GB,social,6,3,2800.0,1557.0,4,0.638,0,2,0,0
session_000027,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,232.16.43.98,2,250,108.82,0.735,71.5,7,3,2,4.48,1,1,1536x864,es-ES,search,12,4,11858.0,1790.0,2,0.502,2,0,2,0
session_000028,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,179.246.188.255,2,625,88.51,0.602,51.5,13,0,2,1.78,1,1,1536x864,en-GB,social,12,4,2927.0,807.0,2,0.337,3,1,2,0
session_000029,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,189.139.16.192,3,702,53.5,0.554,64.7,5,0,3,1.3,1,1,1920x1080,en-US,social,8,6,6923.0,1031.0,3,0.446,3,1,2,0
session_000030,python-requests/2.25.1,41.15.246.131,15,243,11.08,0.204,25.2,3,0,3,19.68,0,1,1024x768,en,direct,10,6,645.0,839.0,9,0.882,0,0,0,1
session_000031,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,228.146.64.149,4,260,13.57,0.487,91.3,9,2,0,3.47,1,1,1920x1080,de-DE,search,17,2,4720.0,1272.0,4,0.286,7,1,1,0
session_000032,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,81.240.67.53,7,475,87.69,0.614,75.3,8,1,2,1.7,1,1,1366x768,es-ES,search,20,2,1138.0,1461.0,3,0.356,2,2,2,0
session_000033,python-requests/2.25.1,81.238.193.240,12,220,6.99,0.257,27.4,5,0,0,19.52,0,1,800x600,unknown,direct,2,6,973.0,824.0,12,0.932,0,0,0,1
session_000034,curl/7.68.0,130.68.34.239,24,144,5.8,0.282,0.4,1,0,0,11.68,1,0,800x600,en,direct,15,3,669.0,1233.0,10,0.966,2,0,0,1
session_000035,PostmanRuntime/7.26.8,157.252.253.207,11,259,9.37,0.181,1.9,3,0,0,13.47,1,0,800x600,,search,8,2,593.0,665.0,11,0.859,0,0,0,1
session_000036,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,68.30.228.28,3,616,40.9,0.623,90.8,7,1,1,4.24,1,1,1366x768,es-ES,search,10,7,12660.0,1354.0,3,0.565,2,6,2,0
session_000037,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,176.163.219.68,2,275,108.3,0.401,66.7,10,1,2,1.36,1,1,1536x864,es-ES,direct,14,1,9069.0,1285.0,2,0.469,1,0,1,0
session_000038,python-requests/2.25.1,109.213.71.12,15,167,9.33,0.277,14.9,2,0,1,16.95,1,0,unknown,en,direct,3,5,773.0,532.0,7,0.933,1,0,0,1
session_000039,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,110.144.3.29,10,196,17.9,0.399,86.1,8,1,0,4.47,1,1,1366x768,de-DE,search,14,1,2340.0,969.0,5,0.217,3,4,2,0
session_000040,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,111.33.11.79,12,698,52.31,0.685,93.4,8,1,0,2.03,1,1,1920x1080,es-ES,social,8,7,4471.0,1628.0,5,0.59,5,2,1,0
session_000041,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),200.144.227.224,8,275,120.69,0.648,59.7,8,2,0,4.53,1,0,375x667,pt-BR,search,17,4,1860.0,1325.0,5,0.616,1,3,1,0
session_000042,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),250.205.208.46,7,467,69.69,0.496,48.5,11,0,2,1.76,1,1,1920x1080,en-GB,search,17,1,13682.0,1251.0,5,0.252,3,2,1,0
session_000043,Scrapy/2.5.1,206.172.222.189,19,253,3.25,0.253,11.4,1,0,0,12.38,1,0,unknown,en,search,10,2,427.0,703.0,17,0.893,1,0,0,1
session_000044,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,52.210.236.118,4,30,52.86,0.56,70.0,8,5,1,1.53,1,1,1440x900,en-GB,social,16,2,1381.0,886.0,4,0.33,0,2,1,0
session_000045,curl/7.68.0,72.222.18.248,18,86,9.3,0.178,15.8,5,0,0,12.28,0,0,unknown,,direct,0,3,295.0,774.0,13,0.868,0,0,0,1
session_000046,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,8.30.225.249,6,492,91.33,0.735,56.0,6,3,1,3.93,0,1,1366x768,de-DE,social,8,1,2451.0,1039.0,1,0.366,0,2,3,0
session_000047,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,112.89.187.202,3,378,127.91,0.675,53.5,12,3,1,2.88,0,1,1536x864,de-DE,direct,4,3,9581.0,1321.0,3,0.526,6,1,2,0
session_000048,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),49.66.12.182,6,635,68.74,0.614,48.0,11,0,0,0.89,1,1,1920x1080,de-DE,social,8,4,4016.0,1133.0,6,0.327,1,5,0,0
session_000049,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,190.189.172.51,4,702,63.83,0.44,79.4,1,2,1,3.86,1,0,1536x864,en-US,direct,4,7,5844.0,1571.0,4,0.269,3,3,2,0
session_000050,curl/7.68.0,170.218.32.185,15,174,9.51,0.253,3.5,3,0,0,16.42,0,1,unknown,,direct,12,2,214.0,567.0,9,0.969,1,0,0,1
session_000051,Scrapy/2.5.1,108.171.241.98,12,292,7.84,0.16,17.5,4,0,1,15.27,1,1,unknown,unknown,direct,20,4,521.0,1135.0,11,0.817,0,0,0,1
session_000052,Go-http-client/1.1,149.156.168.83,23,214,8.0,0.192,15.1,1,0,0,15.86,0,0,0x0,unknown,search,20,2,106.0,793.0,10,0.915,0,0,0,1
session_000053,PostmanRuntime/7.26.8,169.22.73.132,12,265,4.14,0.268,14.3,5,0,1,8.85,0,0,unknown,en,direct,18,7,977.0,684.0,12,0.932,0,0,0,1
session_000054,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,51.38.7.12,6,259,75.11,0.749,65.6,6,3,2,2.2,1,1,1536x864,de-DE,referral,12,6,13058.0,1384.0,2,0.375,2,1,2,0
session_000055,Go-http-client/1.1,162.148.50.184,12,187,8.84,0.271,24.0,1,0,0,13.52,0,1,0x0,unknown,direct,10,7,384.0,874.0,12,0.943,0,0,1,1
session_000056,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),198.227.28.200,9,490,52.87,0.381,50.3,6,2,0,0.55,1,1,1366x768,en-GB,direct,10,5,6849.0,1074.0,4,0.509,4,1,0,0
session_000057,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,143.64.235.218,5,296,57.31,0.756,71.2,3,3,3,2.06,1,1,1536x864,en-GB,search,0,3,10951.0,489.0,5,0.289,1,1,0,0
session_000058,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),153.82.244.194,4,799,68.49,0.328,63.2,10,2,1,2.15,1,1,375x667,pt-BR,search,14,6,11765.0,1059.0,4,0.647,5,4,0,0
session_000059,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),115.230.41.191,4,669,111.17,0.354,42.6,7,4,0,4.73,1,1,1536x864,es-ES,direct,18,5,9614.0,1565.0,4,0.612,5,2,0,0
session_000060,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,200.134.125.161,9,488,69.19,0.516,74.5,8,2,2,2.76,1,1,1440x900,fr-FR,social,20,3,13601.0,1040.0,9,0.43,2,1,0,0
session_000061,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,82.229.139.21,7,560,107.07,0.76,81.6,7,4,1,4.55,1,1,1366x768,en-GB,direct,11,7,3452.0,1371.0,4,0.669,0,0,1,0
session_000062,Go-http-client/1.1,107.105.85.139,15,183,8.73,0.13,1.4,1,0,0,10.94,0,0,0x0,en,direct,18,5,598.0,810.0,15,0.978,0,0,1,1
session_000063,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,179.6.220.226,7,316,111.47,0.55,56.9,4,5,1,3.82,1,1,1536x864,fr-FR,search,19,3,4294.0,1794.0,6,0.626,6,4,2,0
session_000064,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),219.229.245.214,9,290,113.3,0.698,42.0,17,2,3,1.87,1,1,375x667,pt-BR,search,23,2,6108.0,1619.0,5,0.337,2,4,2,0
session_000065,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),125.57.70.112,4,468,55.21,0.528,86.9,12,2,4,3.9,1,1,1920x1080,fr-FR,social,19,6,1379.0,1372.0,4,0.531,2,3,1,0
session_000066,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,43.216.120.236,9,365,65.28,0.752,85.0,15,1,1,3.5,1,1,375x667,de-DE,direct,19,4,5992.0,2098.0,7,0.4,2,0,1,0
session_000067,Scrapy/2.5.1,7.22.165.110,11,184,5.98,0.194,15.5,2,0,0,11.74,0,1,0x0,en,direct,20,2,511.0,780.0,11,0.97,0,0,0,1
session_000068,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),195.226.98.72,8,212,38.69,0.637,82.8,8,7,3,3.72,1,1,1440x900,en-US,direct,18,5,14957.0,966.0,4,0.474,2,0,0,0
session_000069,python-requests/2.25.1,244.90.58.167,9,260,12.8,0.209,10.2,3,1,0,9.65,1,1,800x600,en,direct,2,7,240.0,1159.0,9,0.948,0,0,0,1
session_000070,PostmanRuntime/7.26.8,33.122.172.30,11,202,10.47,0.12,19.9,2,0,1,12.78,0,1,1024x768,unknown,direct,2,7,925.0,876.0,11,0.801,0,0,0,1
session_000071,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,192.184.30.200,10,568,44.08,0.432,47.2,13,2,4,2.76,1,0,1440x900,en-US,direct,20,3,5273.0,1080.0,3,0.436,3,2,2,0
session_000072,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,233.246.97.102,9,591,33.38,0.349,93.5,10,2,2,1.16,1,1,1920x1080,de-DE,social,14,3,7307.0,1000.0,5,0.264,6,5,4,0
session_000073,PostmanRuntime/7.26.8,198.78.218.176,17,122,9.04,0.159,22.8,2,0,0,15.6,0,0,800x600,,direct,18,1,693.0,631.0,9,0.871,1,0,0,1
session_000074,Go-http-client/1.1,130.166.88.4,14,154,12.1,0.237,18.1,6,0,0,11.84,0,0,0x0,en,direct,11,7,344.0,713.0,10,0.973,0,0,0,1
session_000075,PostmanRuntime/7.26.8,40.112.46.188,16,207,4.99,0.265,8.2,3,0,0,10.71,0,0,unknown,,direct,0,6,403.0,967.0,16,0.907,0,0,0,1
session_000076,Scrapy/2.5.1,188.152.69.83,12,138,5.23,0.112,9.1,4,0,0,17.77,1,0,800x600,unknown,direct,12,5,272.0,989.0,12,0.919,0,0,1,1
session_000077,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,98.87.8.127,7,30,45.45,0.329,62.1,3,0,1,4.31,1,1,1366x768,fr-FR,direct,12,2,11578.0,1512.0,3,0.458,2,5,1,0
session_000078,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,226.153.180.226,6,368,26.07,0.682,79.3,3,1,1,3.88,1,1,375x667,en-US,search,15,4,9040.0,1527.0,6,0.493,2,2,0,0
session_000079,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,105.126.143.195,4,577,43.78,0.74,47.8,15,2,2,2.59,1,1,1536x864,pt-BR,search,21,4,4721.0,1230.0,4,0.619,3,1,0,0
session_000080,Scrapy/2.5.1,76.57.104.178,18,187,7.11,0.228,20.4,2,0,0,14.55,0,0,unknown,,direct,17,5,104.0,729.0,15,0.985,0,0,0,1
session_000081,Go-http-client/1.1,191.141.85.91,13,31,10.83,0.287,6.2,1,0,0,9.43,1,1,unknown,unknown,direct,1,5,641.0,1007.0,4,0.879,0,0,0,1
session_000082,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,138.244.196.177,5,460,112.31,0.772,61.6,8,1,0,1.87,1,1,1366x768,en-GB,direct,18,2,5260.0,1096.0,4,0.509,1,0,1,0
session_000083,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,195.135.153.73,4,816,86.57,0.341,75.1,10,2,2,0.52,1,1,1366x768,es-ES,search,20,5,6910.0,1792.0,3,0.668,1,1,1,0
session_000084,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,137.33.71.12,9,493,71.04,0.752,49.8,9,0,0,3.47,1,1,375x667,es-ES,direct,13,1,2560.0,672.0,3,0.476,2,2,0,0
session_000085,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,126.27.224.4,8,448,62.26,0.774,63.0,7,1,0,1.76,1,1,1440x900,fr-FR,social,18,3,12122.0,779.0,8,0.569,2,0,0,0
session_000086,python-requests/2.25.1,65.241.221.123,15,200,2.72,0.134,22.4,2,0,0,17.71,0,0,800x600,unknown,direct,1,1,190.0,903.0,11,0.903,0,0,0,1
session_000087,python-requests/2.25.1,208.145.243.78,14,212,10.69,0.23,6.0,1,0,0,19.64,0,0,1024x768,en,direct,9,3,239.0,948.0,9,0.836,0,0,0,1
session_000088,Go-http-client/1.1,199.134.98.116,11,223,13.9,0.269,5.5,2,1,0,12.68,0,0,unknown,,direct,1,6,174.0,324.0,11,0.998,0,0,0,1
session_000089,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,190.26.243.196,13,412,83.29,0.39,69.5,7,4,2,1.25,1,1,1366x768,es-ES,social,18,3,5687.0,1658.0,6,0.293,4,5,2,0
session_000090,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),20.41.1.105,4,605,103.77,0.351,54.4,9,2,1,2.9,1,1,375x667,fr-FR,search,8,1,1809.0,439.0,4,0.599,7,1,1,0
session_000091,Scrapy/2.5.1,180.221.117.19,13,45,8.13,0.207,18.9,5,0,0,18.68,0,1,unknown,,direct,0,7,290.0,667.0,8,0.917,0,0,0,1
session_000092,curl/7.68.0,58.166.39.233,21,330,5.95,0.185,9.8,1,0,1,19.01,0,0,1024x768,en,social,19,3,311.0,982.0,14,0.992,1,0,0,1
session_000093,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,113.32.120.177,7,548,69.42,0.416,62.2,12,4,2,0.93,1,1,1536x864,es-ES,direct,9,5,11537.0,2058.0,6,0.466,2,2,0,0
session_000094,curl/7.68.0,11.228.111.189,13,117,5.14,0.274,4.4,4,0,0,15.75,0,0,unknown,en,direct,18,7,199.0,970.0,9,0.892,0,0,0,1
session_000095,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,244.6.196.173,7,464,84.31,0.375,65.4,8,0,4,2.63,1,1,375x667,en-US,search,20,2,13517.0,2070.0,5,0.389,3,5,0,0
session_000096,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,114.235.72.47,9,144,94.25,0.412,55.2,5,5,1,4.36,1,0,1536x864,pt-BR,direct,10,5,14174.0,1345.0,4,0.422,6,1,1,0
session_000097,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,105.86.83.172,5,442,91.63,0.462,60.9,11,1,4,4.56,1,1,1366x768,es-ES,search,10,5,1940.0,1117.0,2,0.355,1,2,0,0
session_000098,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,103.209.195.141,7,252,87.42,0.65,59.1,10,1,1,3.74,1,1,1536x864,en-US,social,17,5,12506.0,954.0,6,0.563,2,1,1,0
session_000099,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,104.222.132.212,9,97,85.86,0.68,93.9,4,2,3,4.28,1,1,375x667,fr-FR,search,10,4,3728.0,1651.0,5,0.4,1,2,1,0
session_000100,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,194.128.161.114,8,849,52.55,0.334,61.2,4,2,1,2.11,1,0,1366x768,es-ES,referral,20,7,10635.0,816.0,8,0.665,2,1,0,0
session_000101,PostmanRuntime/7.26.8,179.125.32.8,11,91,4.26,0.293,6.1,1,0,0,8.29,0,0,1024x768,,direct,21,3,555.0,801.0,5,0.966,0,0,0,1
session_000102,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),255.216.234.30,6,823,84.48,0.541,54.0,3,4,0,0.53,1,1,1920x1080,pt-BR,direct,14,1,11521.0,1168.0,6,0.413,4,6,1,0
session_000103,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),131.181.70.107,4,585,48.78,0.605,73.5,6,3,2,4.88,1,1,1536x864,en-GB,social,20,2,7035.0,1171.0,4,0.609,0,2,0,0
session_000104,Scrapy/2.5.1,154.131.192.226,12,95,3.23,0.275,18.6,3,0,0,19.55,0,1,800x600,unknown,direct,20,3,259.0,751.0,6,0.897,1,0,0,1
session_000105,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,69.211.1.73,7,259,50.35,0.554,43.2,5,4,1,2.03,0,1,375x667,de-DE,direct,8,3,8040.0,849.0,3,0.515,1,2,1,0
session_000106,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,138.124.89.86,5,302,84.28,0.53,54.6,9,4,0,3.36,1,1,375x667,fr-FR,referral,10,2,4486.0,1408.0,5,0.352,3,2,2,0
session_000107,Scrapy/2.5.1,179.62.147.99,9,177,6.99,0.214,17.8,4,0,0,9.94,0,0,0x0,en,direct,20,5,485.0,685.0,9,0.905,1,0,0,1
session_000108,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,254.170.203.211,5,749,73.58,0.419,88.6,3,2,4,1.53,1,0,1536x864,en-US,search,18,4,6746.0,1410.0,4,0.619,4,3,0,0
session_000109,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,26.224.217.113,14,470,42.26,0.45,43.8,10,2,0,1.19,1,1,375x667,fr-FR,direct,19,4,12433.0,1091.0,4,0.474,4,1,0,0
session_000110,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,249.40.20.121,6,619,73.92,0.626,66.6,4,3,1,2.48,1,1,1440x900,de-DE,social,16,6,3296.0,1246.0,4,0.65,2,0,0,0
session_000111,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),219.173.220.137,6,610,22.21,0.592,66.6,4,3,2,3.24,1,1,1440x900,pt-BR,referral,23,4,4694.0,1624.0,6,0.224,2,3,0,0
session_000112,curl/7.68.0,10.159.18.61,9,218,10.34,0.22,11.3,3,0,0,10.64,0,0,1024x768,,direct,4,1,325.0,980.0,9,0.928,0,0,0,1
session_000113,curl/7.68.0,26.114.43.178,18,323,11.49,0.176,1.3,4,0,0,16.34,1,1,800x600,en,direct,17,6,872.0,855.0,12,0.951,0,0,0,1
session_000114,Scrapy/2.5.1,63.136.106.145,23,239,11.77,0.121,8.1,0,0,0,13.27,0,0,1024x768,en,direct,22,3,911.0,943.0,11,0.952,0,0,0,1
session_000115,Go-http-client/1.1,234.150.37.60,15,146,8.19,0.213,28.3,4,0,0,10.93,1,0,unknown,unknown,search,6,4,880.0,442.0,14,0.923,0,0,0,1
session_000116,PostmanRuntime/7.26.8,19.114.242.89,15,175,5.26,0.218,1.4,1,1,0,9.51,0,0,unknown,,direct,13,6,265.0,746.0,8,0.86,0,0,0,1
session_000117,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,99.219.124.28,3,751,24.91,0.305,77.1,10,2,4,2.3,1,1,1536x864,de-DE,direct,1,2,4232.0,1850.0,3,0.685,1,0,0,0
session_000118,Go-http-client/1.1,6.251.213.169,18,185,8.88,0.239,6.5,4,0,0,17.64,0,0,unknown,en,direct,7,7,625.0,1085.0,10,0.898,0,0,0,1
session_000119,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,156.191.128.214,10,229,99.63,0.533,76.3,4,3,1,4.08,1,1,1366x768,de-DE,social,12,7,10315.0,1151.0,2,0.585,3,1,2,0
session_000120,Scrapy/2.5.1,65.174.194.185,13,160,9.19,0.171,29.4,2,0,0,12.77,0,0,800x600,,direct,19,6,657.0,741.0,13,0.808,0,0,0,1
session_000121,curl/7.68.0,188.34.24.233,14,221,10.41,0.16,1.3,3,0,2,16.8,1,0,unknown,,social,14,4,771.0,599.0,12,0.914,0,0,0,1
session_000122,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,136.129.234.70,11,233,74.77,0.317,58.6,6,1,1,2.36,0,1,1440x900,fr-FR,search,4,2,5327.0,1716.0,4,0.482,4,2,0,0
session_000123,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,206.30.120.247,9,547,47.36,0.651,81.3,12,1,4,2.94,1,1,1366x768,en-GB,direct,20,7,4807.0,1386.0,4,0.534,5,4,2,0
